Begünstigte/r,Maßnahmebezeichnung,Jahr der Bewilligung / Jahr der Restzahlung,Bewilligte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Vermessen, Straßenbau,Motor-Ketten-Säge, Pflege von
Straßen und Alleen, Bedienen von Kleinmaschinen",2012,,"1.100,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Fachausbildung zum Baugeräteführer: Bedienen, Warten,
Instandsetzen von Baumaschinen",2009,,"1.120,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Allgemeine Verbundausbildung - Fachausbildung Brunnenbauer- Wasserhaltung,
Baugrunderkundungen, Versorgungsleitungen, Verbau, Tiefbau",2013,,"1.140,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Vermessen, Gala, Straßenbau, Technikausbildung mit
Vorbereitung zur Abschlussprüfung",2009,,"1.160,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Beton-Schalungsbau-Berwehrungsbau,2013,,"1.160,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Ausbildung Straßenwärter 2. Ausbildungsjahr,2009,,"1.200,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Fachausbildung Straßen- und Tiefbau mit Vermessung,2011,,"1.200,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Führen von Baumaschinen und Gaugeräte, Hydraulik, E-
Hydraulik, Pneumatik, E-Pneumatik, Brennschneiden",2012,,"1.200,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Fachspezifische Ausbildung im Bereich Beton- und Stahlbeton,2010,,"1.220,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Fachausbildung Tiefbau,2011,,"1.220,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Allgemeine Verbundausbildung - Vermittlung von Fachkenntnissen im Bereich
Baugeräte, Erdbau, Straßenbau",2013,,"1.220,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Fachausbildung Brunnenbauer 2. Ausbildungsjahr,2009,,"1.240,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Fachausbildung 2. Ausbildungsjahr Beton-/Stahlbetonbauer,2009,,"1.240,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Fachausbildung Brunnenbauer,2010,,"1.240,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Fachausbildung im Zimmerergewerk,2013,,"1.240,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - fachspezifische Ausbildung im Bereich Fertigteilbauer:
Betonieren, Bewehren, Oberflächengestaltung",2009,,"1.260,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Fachausbildung Straßen-und Tiefbau mit Vermessung,2011,,"1.260,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Grundausbildung Baugeräteführer,2012,,"1.260,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Fachspezifische Ausbildung im Bereich Beton-und
Stahlbetonbau",2010,,"1.280,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - fachspezifische Ausbildung zum Straßenbauer,2010,,"1.280,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Ausbildung Zimmerer,2011,,"1.280,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Fachausbildung im Bereich Tief- und Rohrleitungsbau,2010,,"1.300,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - fachspezifische Ausbildung Betonfertigteilbauer,2010,,"1.300,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Vermittlung von Fachkenntnissen im Holzbau - Ausbildungsberuf
Zimmerer",2010,,"1.300,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Beton- Stahlbetonbauer,2014,,"1.300,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Grundlagenbildung: Mauern, Schalungsbau, Bewehrung,
Baustellensicherung, Pneumatik, E-Pneumatik",2010,,"1.320,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Grundlagenbildung Mauerwerksbau, Straßenbau, Beton-u.
Stahlbetonbau, Verbau Planum und Feinplanum, Bedienen von Kleinmaschinen",2012,,"1.320,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Fachausbildung in Vorbereitung auf die Abschlußprüfung
Betonfertigteilbauer",2010,,"1.400,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Grundlagenbildung im Straßenbau, Pflastern, Vermessen",2011,,"1.460,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Grundlagenbildung Baugeräteführer,2013,,"1.460,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Straßenwärter,2013,,"1.480,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Grundlagenbildung Mauerwerksbau, Straßenbau, Beton-u.
Stahlbetonbau, Verbau Planum und Feinplanum, Bedienen von Kleinmaschinen",2012,,"1.500,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Grundlagenbildung Mauerwerksbau, Straßenbau, Beton-u.
Stahlbetonbau, Verbau Planum und Feinplanum, Bedienen von Kleinmaschinen,
Freischneiden, Baustellenabsicherung und Arbeitssicherheit",2012,,"1.520,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Grundlagenbildung Straßenwärter- Vermessen, Straßenbau,
Tiefbau",2011,,"1.540,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Allgemeine Verbundausbildung - Vermessen: Bauteile abstecken, Winkel anlegen,
Meßpunkte anlegen, Lehrgang Straßenbau und Tiefbau: Baugruben und Gräben
verbauen, Böschungen anlegen, Schächte mauern und putzen",2012,,"1.540,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Baugeräteführer,2014,,"1.540,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Grundlagenbildung Straßenwärter 1. Ausbildungsjahr,2009,,"1.560,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Vermittlung von Grundkenntnissen im Baufachhandwerk,2009,,"1.560,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Grundlagenbildung Straßenwärter,2010,,"1.580,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Vermittlung von Grundkenntnissen im Bauhandwerk-
Mauern,Fliesen,Vermessen",2010,,"1.600,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Straßenwärter Grundausbildung, Straßenbau, Vermessen,
Tiefbau",2011,,"1.600,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Straßenwärter Grundausbildung, Tiefbau, Straßenbau,
Vermessen",2011,,"1.600,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Mauern, Beton- Stahlbeton, Holzbau, Vermessen,
Straßenbau,Tiefbau,Trockenbau, Fliesenbau",2011,,"1.600,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Baugeräteführer,2014,,"1.600,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Grundlagenbildung: Mauern, Bewehren, Schalen,
Holzbearbeitung, Trockenbau, Fliesen, Estrich",2009,,"1.680,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Erstausbildung zum Straßenbauer, 1. Lehrjahr",2009,,"1.680,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Beton- und Stahlbetonbau,2012,,"1.680,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Vermittlung von Grundlagen Holzbearbeitung, Vermessen,
Bewehren, Schalungsbau, Trockenbau",2010,,"1.800,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Grundlagenbildung Beton-Stahlbeton,2013,,"1.820,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Betonbauer,2014,,"1.820,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Vermessen, Mauern,BSB,Gerüstbau, Pneumatik, E-
Pneumantik, Hydraulik",2012,,"1.860,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Fachausbildung Baugeräteführer im 2. Ausbildungsjahr,2009,,"1.880,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Erstausbildung zum Zimmerer, 1. Lehrjahr",2009,,"1.900,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Fachausbildung Baugeräteführer: Schweißen, Baugruppen,
Hydraulik, E-Hydraulik, Kran/Gabelstapler",2010,,"1.920,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Grundausbildung Straßenbau,2011,,"1.940,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Allgemeine Verbundausbildung - Erwerb von Grundkenntnissen im Bauhandwerk,
Prüfungsvorbereitung im Bereich Tiefbau",2012,,"1.940,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Vermittlung ausgewählter Inhalte für die berufliche Ausbildung
Tiefbaufachwerker",2010,,"1.960,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Allgemeine Verbundausbildung - Holzbearbeitungsmaschinen, Grundlagen Schiftung,
Vermessung, Anreissen, Herstellen von Zimmererböcken, Dachstühle u. a.",2013,,"1.960,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Ausbildung in der Bauwirtschaft zum Betonfertigteilbauer,2009,,"1.980,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Allgemeine Verbundausbildung - Hochbaufacharbeiter im Bereich Beton- und
Stahlbetonbau",2013,,"1.980,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Grundlagenbildung Baugeräteführer,2009,,"2.060,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Ausbildung Beton- Stahlbetonbauer,2012,,"2.060,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Tiefbaufacharbeiter- Kanalbau,2013,,"2.060,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - fachspezifische Ausbildung zum Beton- und Stahlbetonbauer,2010,,"2.360,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Straßenbau: Vermessen, Anlegen von Wegen, Gehwegen,
Pflastern, Borde setzen, Verbände legen",2011,,"2.360,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Grundlagenbildung Baugeräteführer,2013,,"2.360,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Fachausbildung: Schalen/Bewehren, Pneumatik/Hydraulik,
Abbruchmaschinen",2010,,"2.440,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - fachspezifische Ausbildung zum Straßenbauer,2010,,"2.500,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Baugeräteführer,2014,,"2.500,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Fachausbildung Rohrleitungsbauer,2009,,"2.520,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Erstausbildung in der Bauwirtschaft zum Stahlbetonbauer,2009,,"2.520,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Fachausbildung,Bewehren,Betonieren, Anfertigen von
Betonelementen, Betonlabor",2011,,"2.600,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Fachausbildung Zimmerer,2012,,"2.600,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Beton- und Stahlbeton,2012,,"2.980,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Straßenwärter mit fachspezifischer Ausbildung - Alleepflege,
Technikausbildung, Straßenbau",2011,,"3.040,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Allgemeine Verbundausbildung - Grundausbildung Straßenwärter -
Vermessen,Verbau,Mauern, Betonieren, Freischneiden, Kleinmaschinen",2013,,"3.040,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Grundausbildung Straßenwärter - Vermessen, Straßenbau,
Tiefbau",2012,,"3.220,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Lehrgänge Vermessen, Straßenbau, MKS- Pflegen von Straßen
und Alleen, Bedienen von Maschinen, Kenntnisse über Hydraulik, Baumschnitt",2012,,"3.220,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Ausbildung in der Bauwirtschaft zum Tiefbaufacharbeiter
Straßenbau",2009,,"3.240,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Allgemeine Verbundausbildung - Grundausbildung Beton-Stahlbeton, Vermessen,
Trockenbau, Fliesenbau, Estrich, Mauerwerksbau, Holzbearbeitung",2012,,"3.240,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Ausbildung zum Beton- und Stahlbetonbauer, 1. Lehrjahr",2009,,"3.400,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Vermittlung der Grundlagenbildung Beton- und Stahlbetonbauer:
Bewehren, Betonieren, Holzbearbeitung",2010,,"3.420,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Beton-Schalungs-Bewehrungsbau,2013,,"3.440,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Grundlagenbildung: Mauern, Bewehren, Schalen,
Holzbearbeitung, Trockenbau, Fliesen, Estrich",2009,,"3.540,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Grundlagenbildung Bewehren, Betonieren, Holzbearbeitung",2010,,"3.540,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Erstausbildung in der Bauwirtschaft zum Bauwerksmechaniker
für Abbruch und Betontrenntechnik",2009,,"3.560,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Grundlagenbildung Betonfertigteilbauer,2012,,"3.560,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Grundlagenbildung Zimmerer,2011,,"3.600,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Grundausbildung Kanalbauer, Vermessen, Mauern, Tief- und
Straßenbau",2011,,"3.680,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Beton- und Stahlbetonbauer,2014,,"3.860,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Grundlagenbildung Straßenbauer, Vermessen, Pflastern, Holz,
Mauern, Bewehren, Betonieren",2010,,"3.940,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Grundlagenbildung Straßenwärter,2010,,"4.740,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Ausbildung in der Bauwirtschaft zum Betonfertigteilbauer 2.
Lehrjahr",2009,,"5.160,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Kanalbauer,2014,,"5.400,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Allgemeine Verbundausbildung - Grundausbildung Hochbaufacharbeiter im Bereich
Beton- und Stahlbetonbau",2013,,"6.020,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Straßen- und Tiefbau,2013,,"6.760,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbesserung der Arbeitsmarktchancen für junge Frauen in besonderen Lebenslagen,2013,,"83.397,98"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Vorbereitung von Jugendlichen auf eine Eingliederung in eine Berufsausbildung bzw.
in eine berufsvorbereitende Maßnahme",2012,,"93.587,55"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Vorbereitung von Jugendlichen auf eine Eingliederung in eine Berufsausbildung bzw.
in eine berufsvorbereitende Maßnahme",2013,,"94.209,48"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Aktivierung 50+,2013,,"94.312,35"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Kompetent in Frankfurt III,2012,,"100.855,02"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Kompetent in Frankfurt - II,2012,,"144.548,08"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Kompetent in Frankfurt - Aktivierung des regionalen
Fachkräftenachwuchses/Arbeitskräftebedarfs für zukünftig entstehende Engpässe in
kleinen und mittleren Unternehmen, sozialen Einrichtungen und Verbänden der Stadt",2012,"405.755,09",
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Kompetent in Frankfurt - für Handwerk und Dienstleistung II,2013,"433.078,95",
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Bildung und Beschäftigung- Chancen für Alle - Die Feststellung und der Ausbau
beruflicher Kenntnisse und Fähigkeiten erweitern den persönlichen und beruflichen
Aktionsradius und fördern den Prozess der Inklusion in den regionalen Ausbildungs-
und Beschäftigungsmarkt.",2014,"207.059,36",
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Beschäftigung einer Innovationsassistentin bzw. eines Innovationsassistenten im
Bereich: Vermarktung unserer Bildungsdienstleistungen in Europa und darüber hinaus",2014,"16.646,40",
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Zimmerer,2014,"2.700,00",
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Kanalbauer,2014,"4.200,00",
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Baugeräteführer und Bauwerksmechaniker,2014,"4.400,00",
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"7.843,29",
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Teilprojekt Regionalbudget Oder-Spree,2011,"51.614,00",
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg e.V.",Fachkräfte gewinnen-Alleinerziehende unterstützen,2014,"159.912,44",
