Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"NL Ost, HS Frankfurt Oder","L 37, Müllrose - Schernsdorf, IS",2011,2012,"715.050,56 €","715.050,56 €"
"NL Ost, HS Frankfurt Oder","L 37, Radwegneubau Jacobsdorf-Petersdorf einschl. Durchlass u. LAP",2008,2012,"297.996,99 €","297.996,99 €"
"NL Ost, HS Frankfurt Oder","L 37, von OU Müllrose -  OL Dubrow, Deckenerneuerung",2008,2008,"433.478,35 €","433.478,35 €"
"NL Ost, HS Frankfurt Oder","L 372, OD Ziltendorf",2011,,"2.429.162,59 €",
"NL Ost, HS Frankfurt Oder","L 38, OA Fürstenwalde - OE Hangelsberg, IS",2011,2011,"476.709,63 €","476.709,63 €"
"NL Ost, HS Frankfurt Oder","L 38, OA Hangelsberg bis Kreisel",2009,2011,"1.560.830,99 €","1.560.830,99 €"
"NL Ost, HS Frankfurt Oder","L 38, OD Erkner, Berliner Straße, Ausbau",2008,2011,"1.237.005,28 €","1.237.005,28 €"
"NL Ost, HS Frankfurt Oder","L 38, Radweg Sieversdorf-Petersdorf",2008,2008,"257.815,70 €","257.815,70 €"
"NL Ost, HS Frankfurt Oder","L 383, OD Schönfließ",2011,2012,"995.953,78 €","995.953,78 €"
"NL Ost, HS Frankfurt Oder","L 40, KP L 23 bis Kummersdorf (Storkow)",2009,2010,"544.135,46 €","544.135,46 €"
"NL Ost, HS Frankfurt Oder","L 412, Neu Golm - Bad Saarow, IS",2011,2012,"655.660,64 €","655.660,64 €"
"NL Ost, HS Frankfurt Oder","L 412, OD Neu Golm",2009,2011,"1.137.720,54 €","1.137.720,54 €"
"NL Ost, HS Frankfurt Oder","L 42, Herzberg - Wilmersdorf, 1. BA",2008,2008,"1.084.339,25 €","1.084.339,25 €"
"NL Ost, HS Frankfurt Oder","L 43, Eisenhüttenstadt - Diehlo, IS",2011,2012,"758.297,94 €","758.297,94 €"
"NL Ost, HS Frankfurt Oder","L 43, OD Diehlo, IS",2009,2010,"1.057.522,61 €","1.057.522,61 €"
"NL Ost, NS Eberswalde","L  100, Brücke über Lübbelowgraben, Ahlimbsmühle",2008,2009,"506.953,32 €","506.953,32 €"
"NL Ost, NS Eberswalde","L  17, Radwegneubau Hennigsdorf - Marwitz",2008,,"0,00 €",
"NL Ost, NS Eberswalde","L  171, OD Hohen Neuendorf, westlich B 96",2008,2008,"209.885,64 €","209.885,64 €"
"NL Ost, NS Eberswalde","L  20, OD Pinnow - Borgsdorf",2008,2008,"736.968,24 €","736.968,24 €"
"NL Ost, NS Eberswalde","L  29, DL über die Bäke, Schmachtenhagen",2008,2009,"379.839,06 €","379.839,06 €"
"NL Ost, NS Eberswalde","L  29, OD Oderberg, 2. BA",2008,2013,"1.425.101,69 €","1.425.101,69 €"
"NL Ost, NS Eberswalde","L  30, OD Bernau, Börnicker Chaussee",2008,2009,"593.002,08 €","593.002,08 €"
"NL Ost, NS Eberswalde","L  314, OD Bernau, KP Forum",2008,2011,"369.328,92 €","369.328,92 €"
"NL Ost, NS Eberswalde","L 100, Radwegneubau Groß Schönebeck - Wildpark",2009,2011,"266.545,70 €","266.545,70 €"
"NL Ost, NS Eberswalde","L 15, Hardenbeck - Lychen, 1. BA",2011,2012,"2.132.519,99 €","2.132.519,99 €"
"NL Ost, NS Eberswalde","L 15, Neubau RW Hardenbeck - Boitzenburg",2009,2011,"544.068,86 €","544.068,86 €"
"NL Ost, NS Eberswalde","L 15, OA Lychen bis OE Fürstenberg, IS",2008,2010,"2.362.514,59 €","2.362.514,59 €"
"NL Ost, NS Eberswalde","L 15, OA Menz  bis OE Fürstenberg, IS",2008,2010,"2.773.014,62 €","2.773.014,62 €"
"NL Ost, NS Eberswalde","L 15, OA Menz - Kreisgrenze, IS",2009,2010,"2.070.382,65 €","2.070.382,65 €"
"NL Ost, NS Eberswalde","L 17, OD Schwante, IS",2009,2012,"430.679,45 €","430.679,45 €"
"NL Ost, NS Eberswalde","L 172 OD Velten, 3.+ 4. BA",2010,,"2.543.713,04 €",
"NL Ost, NS Eberswalde","L 191, Abzwg. L 172 bis Sommerfeld",2008,2008,"1.771.947,77 €","1.771.947,77 €"
"NL Ost, NS Eberswalde","L 200 Ersatzneubau der Straßenbrücke Eberswalde über die Havel-
Oder-Wasserstraße",2013,,"2.400.000,00 €",
"NL Ost, NS Eberswalde","L 200, RW Bernau - Rüdnitz",2011,,"637.879,22 €",
"NL Ost, NS Eberswalde","L 213,  SM-Grenze bis B 167",2008,2008,"1.006.781,79 €","1.006.781,79 €"
"NL Ost, NS Eberswalde","L 214, OD Blumenow",2008,2008,"350.100,33 €","350.100,33 €"
"NL Ost, NS Eberswalde","L 217, Ausbau OD Klaushagen",2009,,"0,00 €",
"NL Ost, NS Eberswalde","L 220, Abzw. B 167 bis Eichhorst, IS",2008,2009,"653.278,25 €","653.278,25 €"
"NL Ost, NS Eberswalde","L 220, Eichhorst bis km 7,0; IS",2008,2009,"1.210.792,79 €","1.210.792,79 €"
"NL Ost, NS Eberswalde","L 220, Km 7,0 - Joachimsthal, IS",2009,2012,"1.310.936,15 €","1.310.936,15 €"
"NL Ost, NS Eberswalde","L 220, OD Althüttendorf",2008,2009,"403.787,52 €","403.787,52 €"
"NL Ost, NS Eberswalde","L 222, Großwoltersdorf bis OA Menz",2008,2009,"1.224.549,23 €","1.224.549,23 €"
"NL Ost, NS Eberswalde",L 23 OD Templin,2013,,"813.350,35 €",
"NL Ost, NS Eberswalde","L 23,  Radweg Britz bis B 2 einschl. Gem. Radweg südlich OE Britz",2008,2012,"267.115,49 €","267.115,49 €"
"NL Ost, NS Eberswalde","L 23, OD Götschendorf, Ausbau",2008,2010,"915.825,69 €","915.825,69 €"
"NL Ost, NS Eberswalde","L 23, OD Templin, Lychener Straße",2011,,"1.867.741,54 €",
"NL Ost, NS Eberswalde","L 235,  Radweg OD Werneuchen",2008,2009,"691.687,35 €","691.687,35 €"
"NL Ost, NS Eberswalde","L 238, OD Altenhof",2008,2011,"357.252,37 €","357.252,37 €"
"NL Ost, NS Eberswalde","L 24, Brücke über den Stierngraben, Kaakstedt",2011,2014,"997.068,60 €","997.068,60 €"
"NL Ost, NS Eberswalde","L 24, Greifenberg - AS Pfingstberg, Deckenerneuerung",2009,2012,"863.702,74 €","863.702,74 €"
"NL Ost, NS Eberswalde","L 25, FS LG MVP bis OE Schmölln, IS",2008,2009,"644.336,91 €","644.336,91 €"
"NL Ost, NS Eberswalde","L 25, Kraatz - Landesgrenze MVP, Deckenerneuerung",2009,2010,"1.464.660,57 €","1.464.660,57 €"
"NL Ost, NS Eberswalde","L 25, Schönermark - Kraatz, Deckenerneuerung",2009,2010,"1.525.678,94 €","1.525.678,94 €"
"NL Ost, NS Eberswalde","L 26, BAB 20 - OE Prenzlau (Kleptow - Prenzlau), 2. BA, TA 1.1",2011,,"2.791.042,57 €",
"NL Ost, NS Eberswalde","L 26, BAB 20 bis OE Prenzlau; Ausbau der FS",2009,,"5.051.739,46 €",
"NL Ost, NS Eberswalde","L 26, Radweg Brüssow bis  Wollschow",2008,2009,"616.912,23 €","616.912,23 €"
"NL Ost, NS Eberswalde","L 27 / L 272, Ausbau OD Casekow",2009,,"0,00 €",
"NL Ost, NS Eberswalde","L 29, RW Zehlendorf - Schmachtenhagen",2011,,"451.690,35 €",
"NL Ost, NS Eberswalde","L 291 Ersatzneubau der Klosterbrücke über die Havel-Oder-
Wasserstraße",2013,,"2.937.283,33 €",
"NL Ost, NS Eberswalde","L 30, Radweg Krummensee bis Seefeld",2008,2008,"298.127,60 €","298.127,60 €"
"NL Ost, NS Eberswalde","L 314, OD Zepernick, 3. BA",2011,,"1.082.365,22 €",
"NL Ost, NS Eberswalde","L 315, OD Klosterfelde, Bahnhofstraße",2008,2012,"732.050,26 €","732.050,26 €"
"NL Ost, NS Eberswalde","L 33, A 10 - Hönow",2011,,"5.918.789,95 €",
"NL Süd, HS Cottbus","L 47/ L 52, Ausbau Knotenpunkt Sellesse",2008,2011,"291.417,10 €","291.417,10 €"
"NL Süd, HS Cottbus",L 474 Brücke ü. d. Malxeableiter und -zuleiter bei Peitz,2010,2011,"869.168,04 €","869.168,04 €"
"NL Süd, HS Cottbus","L 49, Krimnitz bis Ragow",2008,2009,"268.645,80 €","268.645,80 €"
"NL Süd, HS Cottbus","L 50, Neubau Radweg  Peitz bis Tauer  3. BA",2008,2012,"275.192,53 €","275.192,53 €"
"NL Süd, HS Cottbus","L 52, KP B 97 - Rehnsdorf, Deckenerneuerung",2008,2009,"655.200,60 €","655.200,60 €"
"NL Süd, HS Cottbus","L 522, Ausbau OD Welzow, Cottbuser Straß",2008,2012,"1.506.957,42 €","1.506.957,42 €"
"NL Süd, HS Cottbus",L 60 Brücke ü. d. Kleine Elster in Doberlug-Kirchhain,2010,2013,"528.606,14 €","528.606,14 €"
"NL Süd, HS Cottbus",L 60 RW Doberlug-Kirchhain - Schönborn,2010,2014,"521.198,14 €","521.198,14 €"
"NL Süd, HS Cottbus","L 60, Doberlug-Kirchhain - Schönborn, Deckenerneuerung",2008,2008,"426.896,47 €","426.896,47 €"
"NL Süd, HS Cottbus","L 60, Finsterwalde bis Hennersdorf",2008,2012,"3.571.197,07 €","3.571.197,07 €"
"NL Süd, HS Cottbus","L 62, Neubau RW Elsterwerda - Dreska",2009,2012,"511.625,67 €","511.625,67 €"
"NL Süd, HS Cottbus","L 66, Netzergänzung Mühlberg (Neubau)",2009,,"4.947.184,83 €",
"NL Süd, HS Cottbus","L 66, Netzergänzung Mühlberg, Neubau",2008,,"0,00 €",
"NL Süd, HS Cottbus","L 673, Brücke ü. d. Bindegraben bei Kleinrössen",2008,2008,"211.557,09 €","211.557,09 €"
"NL Süd, HS Cottbus","L 673, Brücke ü. d. Riecke bei Neudeck",2008,2008,"279.659,57 €","279.659,57 €"
"NL Süd, HS Cottbus","L 70,  Werenzhain bis Arenzhain, Deckenerneuerung",2008,2008,"222.637,57 €","222.637,57 €"
"NL Süd, HS Cottbus","Verlegung L 55, 6. BA IS",2009,2012,"2.016.902,31 €","2.016.902,31 €"
"Nl Süd, NS Wünsdorf","L 30, OD Wernsdorf 2. BA",2009,,"0,00 €",
"Nl Süd, NS Wünsdorf","L 30, RW Mittenwalde - Schenkendorf",2008,2009,"306.255,48 €","306.255,48 €"
"Nl Süd, NS Wünsdorf",L 39 OD Friedersdorf,2010,2013,"2.409.056,29 €","2.409.056,29 €"
"Nl Süd, NS Wünsdorf","L 402, L 400 - Tollkrug - Groß Kienitz (B 96)",2008,2011,"553.801,51 €","553.801,51 €"
"Nl Süd, NS Wünsdorf","L 442, Brücke über das Mühlenfließ bei Schuhlen, Ersatzneubau",2008,2009,"463.778,87 €","463.778,87 €"
"Nl Süd, NS Wünsdorf","L 73, OD Luckenwalde, Beelitzer Str. 2.+3.BA",2008,2009,"896.155,29 €","896.155,29 €"
"Nl Süd, NS Wünsdorf","L 73, Paplitz - Schöbendorf - Lynow",2008,2009,"741.123,11 €","741.123,11 €"
"Nl Süd, NS Wünsdorf","L 76, Neubau zwischen Mahlow (K7239) und  B10, 3. BA",2009,,"0,00 €",
"Nl Süd, NS Wünsdorf","L 76, Neubau zwischen Mahlow (K7239) und B101, 3. BA",2009,2013,"6.886.135,25 €","6.886.135,25 €"
"Nl Süd, NS Wünsdorf","L 793, Ersatzneubau der Brücke über den Faulen Graben bei
Blankensee",2008,2009,"115.405,30 €","115.405,30 €"
"Nl Süd, NS Wünsdorf","L 793, KVP Birkengrund Süd",2008,2009,"634.466,97 €","634.466,97 €"
"NL West, HS Potsdam","L 17, OD Jahnberge, 2. BA",2008,2008,"390.581,09 €","390.581,09 €"
"NL West, HS Potsdam","L 20, Abzweig L 16 bis Kreisgrenze",2008,2011,"1.506.296,68 €","1.506.296,68 €"
"NL West, HS Potsdam","L 202, RW Brieselang - Falkensee",2008,2013,"786.915,58 €","786.915,58 €"
"NL West, HS Potsdam",L 40 Neubau der OU Güterfelde-Nuthestraße/Güterfelder Eck,2010,,"11.563.574,87 €",
"NL West, HS Potsdam","L 40, Neubau Ortsumgehung Güterfelde",2009,,"32.734.551,40 €",
"NL West, HS Potsdam",L 77 RW L 79 bis Güterfelde einschl. KV L 77/K 6902 1. BA,2010,2012,"1.071.779,62 €","1.071.779,62 €"
"NL West, HS Potsdam","L 77, OD Langerwisch, IS",2008,,"3.964.045,18 €",
"NL West, HS Potsdam","L 79, Radwegneubau und freie Strecke von L794 bis NL Grenze bis
K6903",2008,,"2.415.125,88 €",
"NL West, HS Potsdam","L 794, Neubau RW OE Neubeeren - Ruhlsdorf sowie Querungshilfe",2009,2012,"349.201,26 €","349.201,26 €"
"NL West, HS Potsdam","L 812, DL bei Bardenitz, Ersatzneubau",2009,2010,"114.635,90 €","114.635,90 €"
"NL West, HS Potsdam","L 85, Cammer bis Golzow",2008,2009,"959.930,93 €","959.930,93 €"
"NL West, HS Potsdam","L 85, Neubau Radweg von Brück bis Linthe",2008,2010,"846.077,81 €","846.077,81 €"
"NL West, HS Potsdam","L 861, Damsdorf-Göhlsdorf",2009,2011,"459.427,27 €","459.427,27 €"
"NL West, HS Potsdam","L 861, RW Plötzin - B1",2009,2013,"765.555,07 €","765.555,07 €"
"NL West, HS Potsdam","L 862, RW Falkenrehde - Ketzin einscl. OE-Gestaltung und IS Strecke",2008,2012,"2.827.260,65 €","2.827.260,65 €"
"NL West, HS Potsdam","L 90, RW Werder - Phöben, 2. BA",2011,,"1.105.044,69 €",
"NL West, HS Potsdam","L 902, Neubau RW Bornim - Grube",2009,2013,"1.137.699,51 €","1.137.699,51 €"
"NL West, HS Potsdam","L 91, RW Nauen - Quermathen",2008,2011,"623.614,28 €","623.614,28 €"
"NL West, HS Potsdam","L 911, RW Brandenburg - K 6941",2011,2013,"1.345.052,00 €","1.345.052,00 €"
"NL West, HS Potsdam","L 92, BW3, Brücke über Schleusenkanal bei Paretz",2009,2011,"947.929,42 €","947.929,42 €"
"NL West, HS Potsdam","L 95, Belzig bis Görzke",2008,2008,"828.969,33 €","828.969,33 €"
"NL West, HS Potsdam","L 96, Neubau RW Jerchel - Marquede",2009,,"461.311,58 €",
"NL West, HS Potsdam","L 96, OD Steckelsdorf",2008,2008,"80.511,14 €","80.511,14 €"
"NL West, HS Potsdam","L 96, Radwegneubau  Marquede - Milow",2008,,"1.402.468,91 €",
"NL West, HS Potsdam","L 963, BW 1 Ersatzneubau der Brücke über das Flutgelände der Havel
bei Milow",2009,2012,"865.425,02 €","865.425,02 €"
"NL West, HS Potsdam","L 982/L 991, OD Nennhausen",2012,,"1.319.707,53 €",
"NL West, HS Potsdam","L 99, Buschow - Barnewitz",2009,2009,"378.729,80 €","378.729,80 €"
"NL West, HS Potsdam","L20, B2 bis Abzweig Groß Glienicke, IS freie Strecke und Neubau RW",2008,2011,"1.407.306,91 €","1.407.306,91 €"
"NL West, HS Potsdam","L40, Errichtung eines Wildschutzzaunes",2008,2008,"38.756,93 €","38.756,93 €"
"NL West, HS Potsdam","L79, Radwegneubau vom KV K6903 bei Nudow bis KV L77",2008,2009,"587.582,73 €","587.582,73 €"
"NL West, HS Potsdam","L90, OD Werder 2.BA; Gartenstraße - Kesselgrundstraße",2008,2012,"993.902,37 €","993.902,37 €"
"NL West, HS Potsdam","L96, BW 8 Königsgraben Böhne",2008,2013,"1.611.154,84 €","1.611.154,84 €"
"NL West, NS Kyritz","L 10, Neubau der Brücke über den Jeetzbach bei Perleberg",2008,2010,"506.235,60 €","506.235,60 €"
"NL West, NS Kyritz","L 102, Neubau der Brücke ü. den Schlatbach bei Groß Linde",2009,2011,"677.891,48 €","677.891,48 €"
"NL West, NS Kyritz","L 102, OD Putlitz",2011,2013,"638.984,82 €","638.984,82 €"
"NL West, NS Kyritz",L 103 OD Groß Pankow,2010,2014,"458.859,93 €","458.859,93 €"
"NL West, NS Kyritz","L 103, Brücke über den Mühlengraben in Wolfshagen",2011,2012,"185.540,36 €","185.540,36 €"
"NL West, NS Kyritz",L 11 Karthanebrücke in Bad Wilsnack,2010,2013,"795.882,54 €","795.882,54 €"
"NL West, NS Kyritz","L 11, RW Bad Wilsnack - Groß Lüben",2011,2013,"307.400,82 €","307.400,82 €"
"NL West, NS Kyritz","L 111, Neubau der Brücke über die Kümmernitz bei Triglitz",2008,2011,"533.660,75 €","533.660,75 €"
"NL West, NS Kyritz",L 122 OD Boberow + FS,2010,2014,"1.665.348,80 €","1.665.348,80 €"
"NL West, NS Kyritz","L 13, Durchlass bei Frehne",2011,2011,"47.690,04 €","47.690,04 €"
"NL West, NS Kyritz","L 13, Lenzen - Rambow (- Mellen)",2011,,"0,00 €",
"NL West, NS Kyritz","L 13, OD Lenzen",2008,2008,"309.845,48 €","309.845,48 €"
"NL West, NS Kyritz","L 13, Reetz bis Blüthen",2008,2008,"844.122,32 €","844.122,32 €"
"NL West, NS Kyritz","L 131, Postlin bis Dallmin, Instandsetzung",2008,2010,"1.110.564,72 €","1.110.564,72 €"
"NL West, NS Kyritz",L 14 OD Lellichow,2010,,"689.927,30 €",
"NL West, NS Kyritz","L 14, Freyenstein bis Meyenburg (2. BA)",2008,2008,"333.117,80 €","333.117,80 €"
"NL West, NS Kyritz","L 14, Kyritz Westfalenallee und Bauwerk",2011,2013,"2.178.087,70 €","2.178.087,70 €"
"NL West, NS Kyritz","L 14, OD Freyenstein",2008,2009,"263.719,85 €","263.719,85 €"
"NL West, NS Kyritz","L 14, OD Wittstock, KVP Entlastungsstraße; L 14/L 15 OD Wittstock,
Rheinsberger Str./ Zootzener Dam",2008,2013,"2.264.575,95 €","2.264.575,95 €"
"NL West, NS Kyritz","L 14/L 18, OD Herzsprung",2008,2013,"2.457.255,50 €","2.457.255,50 €"
"NL West, NS Kyritz",L 141 Jäglitzbrücke bei Neuendorf,2010,2012,"785.131,11 €","785.131,11 €"
"NL West, NS Kyritz","L 141, BW ü. d. Neue Jäglitz bei Zernitz",2009,2013,"544.391,54 €","544.391,54 €"
"NL West, NS Kyritz","L 141, OD Breddin, 1. und 2. BA",2008,2011,"1.964.453,28 €","1.964.453,28 €"
"NL West, NS Kyritz","L 142 OD Wusterhausen, 1. + 2. Ausbau",2010,2014,"597.085,97 €","597.085,97 €"
"NL West, NS Kyritz","L 147, Brücke über die Dosse bei Freyenstein",2011,2013,"278.985,89 €","278.985,89 €"
"NL West, NS Kyritz",L 15 Dorf Zechlin - Flecken Zechlin,2009,2011,"444.817,32 €","444.817,32 €"
"NL West, NS Kyritz","L 15, OD Rheinsberg, Neubau",2009,,"0,00 €",
"NL West, NS Kyritz","L 15; OD Rheinsberg, Schlossstr. bis Menzer Str.",2009,2010,"724.900,22 €","724.900,22 €"
"NL West, NS Kyritz","L 154, Neubau der Brücke über die Dömnitz bei Rohlsdorf",2008,2011,"305.087,60 €","305.087,60 €"
"NL West, NS Kyritz","L 155, Neubau der Brücke über die Kümmernitz  bei Preddöhl",2008,2012,"414.706,48 €","414.706,48 €"
"NL West, NS Kyritz",L 16 Fehrbellin-KreisGr / TA Hackenberg-Tarmow,2009,2011,"971.385,51 €","971.385,51 €"
"NL West, NS Kyritz",L 16 OD Hakenberg und L 173,2010,,"1.003.580,90 €",
"NL West, NS Kyritz","L 16 OD Neuruppin, H.-Rau-Str. - LAS Klinik",2010,,"4.802.419,87 €",
"NL West, NS Kyritz","L 16, Ausbau Knotenpunkt Stöffiner Weg und freie Strecke",2009,2011,"739.189,06 €","739.189,06 €"
"NL West, NS Kyritz","L 16, Dammkrug",2009,2012,"1.351.687,03 €","1.351.687,03 €"
"NL West, NS Kyritz","L 16, Instandsetzung der Brücke ü.d.Schwarzen Graben b. Fehrbellin",2008,2008,"149.261,76 €","149.261,76 €"
"NL West, NS Kyritz","L 16, KVP Neuruppin - Nordring",2011,2014,"771.130,70 €","771.130,70 €"
"NL West, NS Kyritz","L 16, Neubau RW Fehrbellin - Dammkrug",2009,2014,"1.710.113,87 €","1.710.113,87 €"
"NL West, NS Kyritz","L 16, Neubau RW Tarmow bis Fehrbellin",2009,2010,"100.125,31 €","100.125,31 €"
"NL West, NS Kyritz","L 16, OD Neuruppin OE - LAS Klinik",2009,,"3.262.884,78 €",
"NL West, NS Kyritz","L 16, TA Hakenberg bis Linum",2008,2010,"884.379,19 €","884.379,19 €"
"NL West, NS Kyritz","L 16, TA Linum bis Kreisgrenze OPR/OHV",2008,2008,"836.152,04 €","836.152,04 €"
"NL West, NS Kyritz","L 164, Altfriesack bis Wustrau",2008,2008,"178.068,39 €","178.068,39 €"
"NL West, NS Kyritz","L 164, Herzberg bis Radensleben",2008,2008,"376.314,66 €","376.314,66 €"
"NL West, NS Kyritz","L 164, Neubau der Brücke über Graben bei Herzberg",2009,2011,"608.760,26 €","608.760,26 €"
"NL West, NS Kyritz","L 165, Durchlass Manker",2011,2012,"17.506,24 €","17.506,24 €"
"NL West, NS Kyritz","L 166, OD Nackel",2011,2013,"444.538,72 €","444.538,72 €"
"NL West, NS Kyritz","L 17, Durchlass bei Sandhorst",2011,2012,"46.936,09 €","46.936,09 €"
"NL West, NS Kyritz","L 173, Durchlass Königshorst",2011,2012,"47.468,96 €","47.468,96 €"
"NL West, NS Kyritz","L 173, OD Deutschhof",2011,2014,"354.739,32 €","354.739,32 €"
"NL West, NS Kyritz","L 18, Abzweig L 16 - A 24",2011,2013,"2.611.700,31 €","2.611.700,31 €"
"NL West, NS Kyritz","L 18, OD Katerbow",2011,2013,"1.229.173,00 €","1.229.173,00 €"
"NL West, NS Kyritz","L11, Radwegneubau, Klein Lüben bis Kuhblank",2008,2008,"207.983,20 €","207.983,20 €"
"NL West, NS Kyritz","L19, Neubau des Radweges Schönberg  - Lindow",2009,2013,"423.662,60 €","423.662,60 €"
"Noeske-Heisinger, Dirk",Erweiterung einer Apotheke,2012,2014,"49.637,00 €","49.637,00 €"
NOGI Kunst- und Naturstein GmbH,"Erweiterung einer Betriebsstätte zur Be- und Verarbeitung von Beton-
und Natursteinen",2008,2010,"13.500,00 €","13.500,00 €"
NOPA Industriearmaturen GmbH,Beratung zur Verbesserung der Organisation,2010,2012,"20.000,00 €","20.000,00 €"
NOPA Industriearmaturen GmbH,"Beratungsleistungen zum Aufbau eines Wissens- und Dokumenten-
managementsystems",2013,2014,"4.000,00 €","4.000,00 €"
NordCONTROL GmbH,"begleitende Beratung zur Entwicklung einer Dachmarkenstrategie und
Profilierung der Arbeitgebermarke",2009,2011,"20.000,00 €","20.000,00 €"
"Nordheim, Jutta","Messeteilnahmen: ""CPD Illuminating Women 09-10"" in Düsseldorf,
""the train 09-10"" in New York, ""Atmosphere's 09-10"" in Paris",2009,2011,"7.390,00 €","7.390,00 €"
NORO Stahl- und Röhrenhandels GmbH,"Erweiterung einer Betriebsstätte zur Produktion von Bewehrung,
Stahlbau nach Zeichnung",2007,2011,"240.700,00 €","240.700,00 €"
Novero Dabendorf GmbH,UniBox,2009,2011,"678.500,00 €","678.500,00 €"
novisimo GmbH,Errichtung einer Betriebsstätte zur Oberflächenveredelung,2007,,"0,00 €",
NOWEDA Pharma-Handels-GmbH,"Erweiterung einer Betriebsstätte zur Erbringung von logistischen
Dienstleistungen",2012,,"542.000,00 €",
Nowothnick-Hollnack GbR,Modernisierung der Betriebsstätte für Bausanierung,2010,2011,"2.112,00 €","2.112,00 €"
NTBB Systemtechnik GmbH,"Entwicklung eines ""Intelligenten Passagierleitsystems"" (IPL) mit
Bluetooth- und WLAN-Technologie",2008,,"0,00 €",
