Begünstigte,Bezeichnung des Vorhabens,öffentliche Beteiligung(EU+nationale Kofinanzierung),Status - G genehmigt - A ausbezahlt
Stadtgemeinde Bruck a.d. Mur,Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"80.100,00",G
Stadtgemeinde Deutschlandsberg,Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"973.454,10",A
Stadtgemeinde Judenburg,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"105.000,00",G
Stadtgemeinde Kindberg,Projekt zur überbetrieblichen Forschungsinfrastruktur,"47.025,00",A
Stadtgemeinde Köflach,Projekt im Bereich Technologietransfer / KMU-Kooperation,"39.520,00",A
Stadtgemeinde Trofaiach,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"36.000,00",A
Stadtwerke Judenburg AG,ESF cross-financing,"4.171,30",A
Stadtwerke Judenburg AG,Innovationsdienstleistung für Unternehmen,"2.450,00",A
Stadtwerke Kapfenberg GmbH,Investition zur Verbesserung der Energieeffizienz,"233.224,00",A
Stahl Judenburg GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"105.443,32",A
Stahl Judenburg GmbH,Unternehmensinvestition mit Innovationsbezug,"513.683,96",A
Stahl Judenburg GmbH,ESF cross-financing,"24.622,78",A
Stahl Judenburg GmbH,ESF cross-financing,"32.535,80",A
Stadt Graz - Amt für Wirtschafts- und Tourismusentwicklung,Projekt im Bereich Standortentwicklung,"220.969,38",A
Stadt Graz - Straßenamt,Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"642.913,42",G
"Stadt Graz, A10 Stadtbaudirektion",Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"417.489,31",A
"Stadt Graz, A10 Stadtbaudirektion",Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"543.000,00",A
"Stadt Graz, A10/5 Abteilung für Grünraum und Gewässer",Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"417.002,08",A
"Stadt Graz, A13 Sportamt",Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"387.721,99",A
"Stadt Graz, A14  Stadtplanungsamt",Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"94.908,00",A
"Stadt Graz, A23 Umweltamt",Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"35.373,70",A
"Stadt Graz, Stadtbaudirektion, Ref. Für EU-Programme u. internationale
Kooperation","Projekt zur Vorbereitung, Durchführung, Begleitung und Kontrolle des
Programms","280.000,00",G
Stadtgemeinde Bruck a.d. Mur,Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"80.100,00",G
Stadtgemeinde Deutschlandsberg,Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"973.454,10",A
Stadtgemeinde Judenburg,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"105.000,00",G
Stadtgemeinde Kindberg,Projekt zur überbetrieblichen Forschungsinfrastruktur,"47.025,00",A
Stadtgemeinde Köflach,Projekt im Bereich Technologietransfer / KMU-Kooperation,"39.520,00",A
Stadtgemeinde Trofaiach,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"36.000,00",A
Stadtwerke Judenburg AG,ESF cross-financing,"4.171,30",A
Stadtwerke Judenburg AG,Innovationsdienstleistung für Unternehmen,"2.450,00",A
Stadtwerke Kapfenberg GmbH,Investition zur Verbesserung der Energieeffizienz,"233.224,00",A
Stahl Judenburg GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"105.443,32",A
Stahl Judenburg GmbH,Unternehmensinvestition mit Innovationsbezug,"513.683,96",A
Stahl Judenburg GmbH,ESF cross-financing,"24.622,78",A
Stahl Judenburg GmbH,ESF cross-financing,"32.535,80",A
Stahl Judenburg GmbH,ESF cross-financing,"24.108,15",A
Stahl Judenburg GmbH,ESF cross-financing,"16.708,21",A
Stahl Judenburg GmbH,Innovationsdienstleistung für Unternehmen,"2.205,00",A
Stahl Judenburg GmbH,Innovationsdienstleistung für Unternehmen,"1.732,58",A
Stahl Judenburg GmbH,Investition zur Verbesserung der Energieeffizienz,"1.595.905,00",A
Stahl- und Fahrzeugbau Grabner GmbH,Innovationsdienstleistung für Unternehmen,"12.475,00",A
"Stahl- und Fahrzeugbau Grabner GmbH und Johann Grabner
Handelsgesellschaft mbH & Co KG",Unternehmensinvestition mit Innovationsbezug,"292.856,73",A
STAR AGRO Analyse und Handels GmbH,Innovationsdienstleistung für Unternehmen,"10.125,00",A
Stefan Gross,Innovationsdienstleistung für Unternehmen,"28.704,00",A
"Steiermärkische Landesdruckerei Gesellschaft m.b.H.; Medienfabrik Graz
GmbH",ESF cross-financing,"31.482,24",A
"Steiermärkische Landesdruckerei Gesellschaft m.b.H.; Medienfabrik Graz
GmbH",Innovationsdienstleistung für Unternehmen,"2.000,00",A
Steiermärkische Landesdruckerei GmbH,Innovationsdienstleistung für Unternehmen,"34.200,00",A
Steiner Energie- und Haustechnik GmbH,Innovationsdienstleistung für Unternehmen,"4.800,00",A
Steiner GesmbH & Co. KG,Unternehmensinvestition mit Innovationsbezug,"18.130,00",A
Steiner GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"3.000,00",A
Steinmetzunternehmen Reinisch GmbH,Innovationsdienstleistung für Unternehmen,"9.600,00",A
"Steinrieser Getränke GmbH, Herbert Steinrieser GmbH",Unternehmensinvestition mit Innovationsbezug,"1.066.663,26",G
Steinwender e.U.,Innovationsdienstleistung für Unternehmen,"11.440,00",A
Steirische TV-Infrastuktur GmbH,Unternehmensinvestition mit Innovationsbezug,"89.583,90",A
Steirische Volkswirtschaftliche Gesellschaft,Projekt im Bereich Standortentwicklung,"10.257,80",A
Stahl Judenburg GmbH,ESF cross-financing,"24.108,15",A
Stahl Judenburg GmbH,ESF cross-financing,"16.708,21",A
Stahl Judenburg GmbH,Innovationsdienstleistung für Unternehmen,"2.205,00",A
Stahl Judenburg GmbH,Innovationsdienstleistung für Unternehmen,"1.732,58",A
Stahl Judenburg GmbH,Investition zur Verbesserung der Energieeffizienz,"1.595.905,00",A
Stahl- und Fahrzeugbau Grabner GmbH,Innovationsdienstleistung für Unternehmen,"12.475,00",A
"Stahl- und Fahrzeugbau Grabner GmbH und Johann Grabner
Handelsgesellschaft mbH & Co KG",Unternehmensinvestition mit Innovationsbezug,"292.856,73",A
STAR AGRO Analyse und Handels GmbH,Innovationsdienstleistung für Unternehmen,"10.125,00",A
Stefan Gross,Innovationsdienstleistung für Unternehmen,"28.704,00",A
"Steiermärkische Landesdruckerei Gesellschaft m.b.H.; Medienfabrik Graz
GmbH",ESF cross-financing,"31.482,24",A
"Steiermärkische Landesdruckerei Gesellschaft m.b.H.; Medienfabrik Graz
GmbH",Innovationsdienstleistung für Unternehmen,"2.000,00",A
Steiermärkische Landesdruckerei GmbH,Innovationsdienstleistung für Unternehmen,"34.200,00",A
Steiner Energie- und Haustechnik GmbH,Innovationsdienstleistung für Unternehmen,"4.800,00",A
Steiner GesmbH & Co. KG,Unternehmensinvestition mit Innovationsbezug,"18.130,00",A
Steiner GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"3.000,00",A
Steinmetzunternehmen Reinisch GmbH,Innovationsdienstleistung für Unternehmen,"9.600,00",A
"Steinrieser Getränke GmbH, Herbert Steinrieser GmbH",Unternehmensinvestition mit Innovationsbezug,"1.066.663,26",G
Steinwender e.U.,Innovationsdienstleistung für Unternehmen,"11.440,00",A
Steirische TV-Infrastuktur GmbH,Unternehmensinvestition mit Innovationsbezug,"89.583,90",A
Steirische Volkswirtschaftliche Gesellschaft,Projekt im Bereich Standortentwicklung,"10.257,80",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Projekt im Bereich Technologietransfer / KMU-Kooperation,"18.510,00",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Projekt im Bereich Technologietransfer / KMU-Kooperation,"304.871,46",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Innovationsdienstleistung für Unternehmen,"245.378,68",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Innovationsdienstleistung für Unternehmen,"290.001,30",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Innovationsdienstleistung für Unternehmen,"363.800,00",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Projekt im Bereich Standortentwicklung,"497.076,40",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Projekt im Bereich Standortentwicklung,"575.716,62",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Projekt im Bereich Standortentwicklung,"479.231,80",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Projekt im Bereich Standortentwicklung,"98.824,52",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,ESF cross-financing,"1.620,00",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,ESF cross-financing,"2.350,00",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Innovationsdienstleistung für Unternehmen,"30.000,00",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Innovationsdienstleistung für Unternehmen,"22.962,00",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H.,Projekt im Bereich Technologietransfer / KMU-Kooperation,"300.000,00",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H.,Projekt im Bereich Technologietransfer / KMU-Kooperation,"97.300,00",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H.,Projekt im Bereich Technologietransfer / KMU-Kooperation,"343.857,61",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H.,Projekt im Bereich Technologietransfer / KMU-Kooperation,"284.464,00",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H.,Investition zur überbetrieblichen Forschungsinfrastruktur,"5.527.113,64",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H.,Projekt im Bereich Technologietransfer / KMU-Kooperation,"62.200,00",A
Steirisches Vulkanland Regionalentwicklung GmbH,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"150.000,00",G
Steirisches Vulkanland Regionalentwicklung GmbH,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"36.400,00",G
Steirisches Vulkanland Regionalentwicklung GmbH,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"80.000,00",G
Steirisches Vulkanland Regionalentwicklung GmbH,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"82.316,19",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Projekt im Bereich Technologietransfer / KMU-Kooperation,"304.871,46",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Innovationsdienstleistung für Unternehmen,"245.378,68",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Innovationsdienstleistung für Unternehmen,"290.001,30",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Innovationsdienstleistung für Unternehmen,"363.800,00",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Projekt im Bereich Standortentwicklung,"497.076,40",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Projekt im Bereich Standortentwicklung,"575.716,62",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Projekt im Bereich Standortentwicklung,"479.231,80",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Projekt im Bereich Standortentwicklung,"98.824,52",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,ESF cross-financing,"1.620,00",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,ESF cross-financing,"2.350,00",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Innovationsdienstleistung für Unternehmen,"30.000,00",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H,Innovationsdienstleistung für Unternehmen,"22.962,00",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H.,Projekt im Bereich Technologietransfer / KMU-Kooperation,"300.000,00",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H.,Projekt im Bereich Technologietransfer / KMU-Kooperation,"97.300,00",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H.,Projekt im Bereich Technologietransfer / KMU-Kooperation,"343.857,61",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H.,Projekt im Bereich Technologietransfer / KMU-Kooperation,"284.464,00",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H.,Investition zur überbetrieblichen Forschungsinfrastruktur,"5.527.113,64",A
Steirische Wirtschaftsförderungsgesellschaft m.b.H.,Projekt im Bereich Technologietransfer / KMU-Kooperation,"62.200,00",A
Steirisches Vulkanland Regionalentwicklung GmbH,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"150.000,00",G
Steirisches Vulkanland Regionalentwicklung GmbH,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"36.400,00",G
Steirisches Vulkanland Regionalentwicklung GmbH,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"80.000,00",G
Steirisches Vulkanland Regionalentwicklung GmbH,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"82.316,19",A
Steirisches Vulkanland Regionalentwicklung GmbH,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"98.492,72",A
Steirisches Vulkanland Regionalentwicklung GmbH,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"74.646,10",A
Steirisches Vulkanland Regionalentwicklung GmbH,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"100.000,00",G
Stempkowski Baumanagement & Bauwirtschaft Consulting GmbH,Innovationsdienstleistung für Unternehmen,"2.450,00",A
STEP Energysystems GmbH,Innovationsdienstleistung für Unternehmen,"3.960,00",A
STEYR CENTER SÜD Landmaschinentechnik GmbH,Innovationsdienstleistung für Unternehmen,"16.486,50",A
STIA Holzindustrie GmbH,Innovationsdienstleistung für Unternehmen,"14.400,00",A
STIA Holzindustrie GmbH,Innovationsdienstleistung für Unternehmen,"24.000,00",A
STIA Holzindustrie GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"1.170.761,81",A
Stirzone GmbH,Innovationsdienstleistung für Unternehmen,"2.800,00",A
Stolz Möbel GmbH,Innovationsdienstleistung für Unternehmen,"15.600,00",A
Stölzle - Oberglas GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"3.889.833,32",A
Stölzle - Oberglas GmbH,Unternehmensinvestition mit Innovationsbezug,"1.533.915,64",G
Stölzle - Oberglas GmbH,ESF cross-financing,"36.930,04",A
Stölzle - Oberglas GmbH,ESF cross-financing,"37.054,50",A
Stölzle - Oberglas GmbH,ESF cross-financing,"25.000,00",A
Stranzl Elektromaschinentechnik GmbH,Innovationsdienstleistung für Unternehmen,"22.860,00",A
Strobl Bau - Holzbau GmbH,Innovationsdienstleistung für Unternehmen,"2.950,00",A
Strobl Bau - Holzbau GmbH,ESF cross-financing,"3.600,00",A
Strobl Bau - Holzbau GmbH,Innovationsdienstleistung für Unternehmen,"7.200,00",A
STS Formtechnik GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"24.000,00",A
Stvarnik Bau-Gesellschaft m.b.H.,ESF cross-financing,"14.400,00",A
Stvarnik Bau-Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"2.925,00",A
Steirisches Vulkanland Regionalentwicklung GmbH,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"74.646,10",A
Steirisches Vulkanland Regionalentwicklung GmbH,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"100.000,00",G
Stempkowski Baumanagement & Bauwirtschaft Consulting GmbH,Innovationsdienstleistung für Unternehmen,"2.450,00",A
STEP Energysystems GmbH,Innovationsdienstleistung für Unternehmen,"3.960,00",A
STEYR CENTER SÜD Landmaschinentechnik GmbH,Innovationsdienstleistung für Unternehmen,"16.486,50",A
STIA Holzindustrie GmbH,Innovationsdienstleistung für Unternehmen,"14.400,00",A
STIA Holzindustrie GmbH,Innovationsdienstleistung für Unternehmen,"24.000,00",A
STIA Holzindustrie GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"1.170.761,81",A
Stirzone GmbH,Innovationsdienstleistung für Unternehmen,"2.800,00",A
Stolz Möbel GmbH,Innovationsdienstleistung für Unternehmen,"15.600,00",A
Stölzle - Oberglas GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"3.889.833,32",A
Stölzle - Oberglas GmbH,Unternehmensinvestition mit Innovationsbezug,"1.533.915,64",G
Stölzle - Oberglas GmbH,ESF cross-financing,"36.930,04",A
Stölzle - Oberglas GmbH,ESF cross-financing,"37.054,50",A
Stölzle - Oberglas GmbH,ESF cross-financing,"25.000,00",A
Stranzl Elektromaschinentechnik GmbH,Innovationsdienstleistung für Unternehmen,"22.860,00",A
Strobl Bau - Holzbau GmbH,Innovationsdienstleistung für Unternehmen,"2.950,00",A
Strobl Bau - Holzbau GmbH,ESF cross-financing,"3.600,00",A
Strobl Bau - Holzbau GmbH,Innovationsdienstleistung für Unternehmen,"7.200,00",A
STS Formtechnik GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"24.000,00",A
Stvarnik Bau-Gesellschaft m.b.H.,ESF cross-financing,"14.400,00",A
Stvarnik Bau-Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"2.925,00",A
Styromagnesit Steirische Magnesitindustrie GmbH,Unternehmensinvestition mit Innovationsbezug,"435.829,30",A
Surtmann-Pojer KG,ESF cross-financing,"2.490,00",A
Surtmann-Pojer KG,Innovationsdienstleistung für Unternehmen,"900,00",A
SustSol GmbH,Innovationsdienstleistung für Unternehmen,"24.300,00",A
T.M.K. Technologie in Metall und Kunststoff GmbH,Innovationsdienstleistung für Unternehmen,"5.800,00",A
T.M.K. Technologie in Metall und Kunststoff GmbH,Innovationsdienstleistung für Unternehmen,"3.750,00",A
T.M.K. Technologie in Metall und Kunststoff GmbH,Unternehmensinvestition mit Innovationsbezug,"14.390,00",A
TAC Informationstechnologie GmbH,Innovationsdienstleistung für Unternehmen,"9.575,00",A
TAC Informationstechnologie GmbH,Innovationsdienstleistung für Unternehmen,"1.580,00",A
TAGnology RFID GmbH,Innovationsdienstleistung für Unternehmen,"8.420,00",A
TAGnology RFID GmbH,Innovationsdienstleistung für Unternehmen,"49.300,00",A
TAGnology RFID GmbH,Innovationsdienstleistung für Unternehmen,"20.000,00",A
TAGnology RFID GmbH,ESF cross-financing,"16.200,00",A
TAGnology RFID GmbH,ESF cross-financing,"1.195,00",A
TAGnology RFID GmbH,Innovationsdienstleistung für Unternehmen,"6.048,00",A
Taibinger & Co Sondermaschinenbau GmbH,ESF cross-financing,"7.163,20",A
Taibinger & Co Sondermaschinenbau GmbH,ESF cross-financing,"9.129,59",A
Taibinger & Co Sondermaschinenbau GmbH,Innovationsdienstleistung für Unternehmen,"800,00",A
Taibinger & Co Sondermaschinenbau GmbH,Innovationsdienstleistung für Unternehmen,"825,04",A
TBM Betriebsmanagement GmbH,ESF cross-financing,"3.850,00",A
TCM International Tool Consulting & Management GmbH,Innovationsdienstleistung für Unternehmen,"16.376,25",A
TCM International Tool Consulting & Management GmbH,Innovationsdienstleistung für Unternehmen,"11.750,00",A
TDE Thonhauser Data Engineering GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"438.494,00",A
Surtmann-Pojer KG,ESF cross-financing,"2.490,00",A
Surtmann-Pojer KG,Innovationsdienstleistung für Unternehmen,"900,00",A
SustSol GmbH,Innovationsdienstleistung für Unternehmen,"24.300,00",A
T.M.K. Technologie in Metall und Kunststoff GmbH,Innovationsdienstleistung für Unternehmen,"5.800,00",A
T.M.K. Technologie in Metall und Kunststoff GmbH,Innovationsdienstleistung für Unternehmen,"3.750,00",A
T.M.K. Technologie in Metall und Kunststoff GmbH,Unternehmensinvestition mit Innovationsbezug,"14.390,00",A
TAC Informationstechnologie GmbH,Innovationsdienstleistung für Unternehmen,"9.575,00",A
