Naziv projekta,Fond,Šifra operativnog programa,Operativni program,NUTSII,Županija,Korisnik,Opis projekta,Datum ugovaranja,Zaključni datum provedbe aktivnosti,Bespovratna sredstva,Ukupno prihvatljivi troškovi
Unapređenje energetske učinkovitosti pilane Bišćan,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,KARLOVAČKA,BIŠĆAN proizvodno-uslužni obrt (32436076260),"Pilana Bišćan ovim projektom planira unaprijediti ekonomičnost trošenja energije, te planira uvesti nove usluge koje će moći pružiti svojim kupcima. Kroz nabavu sušilice za trupce, solarnih ćelija, te dodatne mehanizacije za svoj pogon pilana unaprjeđuje ne samo svoje poslovanje već i poslovanje cijelog klastera pilana iz regije u kojem sudjeluje. Izravni rezultati projekta bit će: Stavljanje u funkciju izvora alternativne energije (solarna energija), smanjena potrošnja energije u tehnološkom procesu za 20%, a najmanje jedan novi konačni proizvod će se staviti na tržište do kraja projekta.",19.06.2013,19.12.2014,"1.508.869,31 €","1.806.380,11 €"
Eko-standardizacija i modernizacija opreme za usluge održavanja sustava ubrizgavanja goriva za gospodarska i privatna vozila,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,KARLOVAČKA,"Servis za popravak i održavanje Bosch pumpi, sapnica i sklopova motora, Miroslav Tržok (51489973884)",Projekt će doprinijeti konkurentnosti Tržok servisa modernizacijom opreme i uvođenjem EURO 6 norme (smanjenje ispuštanja CO2 iz ispuha automobila i povećanje energetske učinkovitosti). Doprinijet će razvoju ljudskih resursa kroz treninge za korištenje nove opreme te će se isto znanje prenijeti i na 5 drugih poduzetnika koji obavljaju slične usluge. Projekt će se također prezentirati lokalnoj i regionalnoj poslovnoj zajednici te građanima.,19.06.2013,19.02.2014,"435.459,93 €","512.305,84 €"
Pretvaranje otpada u modernu eko odjeću,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,KARLOVAČKA,SVIJET DEKORA d.o.o. (64651746464),"Svijet dekora je firma koja se bavi proizvodnjom tekstilnih proizvoda. Kroz tu proizvodnju ostaje 20 % materijala kao višak tj otpad koji se zatim pali. Kroz projekt, Svijet Dekora uvest će nove načine iskorištavanja viška materijala, te potpuno ukinuti spaljivanje otpada. Višak materijala postat će novi proizvodi: nakit i odjeća. Kroz projekt, korisnik će nabavljati opremu i IKT rješenja koja će omogućiti uvođenje novih proizvoda.",19.06.2013,19.12.2014,"1.478.243,60 €","1.798.131,12 €"
Zapošljavanje slijepih osoba – prednost ili nedostatak,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,HRVATSKA UDRUGA ZA ŠKOLOVANJE PASA VODIČA I MOBILITET (84108603042),"Projekt obuhvaća s jedne strane osnaživanje slijepih osoba kao potencijalno zapošljive skupine, a s druge strane edukaciju građana i poslodavaca o mogućnostima tih osoba s ciljem eliminiranja predrasuda i stvaranja empatije prema osobama s invaliditetom. Korisnik sredstava je Hrvatska udruga za školovanje pasa vodiča i mobilitet, a aktivnosti će se provoditi u 7 županija Republike Hrvatske.",03.12.2010,03.12.2011,"638.391,24 €","759.989,60 €"
Vijeće za tržište rada Karlovačke županije – radovi u tijeku!,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,"Hrvatski zavod za zapošljavanje, Područni ured Karlovac (91547293790)","Kako bi se osigurala provedba Strategije za razvoj ljudskih resursa u okviru Županijskog partnerskog vijeća osnovano je višesektorsko vijeće - Vijeće za tržište rada Karlovačke županije. Cilj projekta je unaprijediti implementaciju Strategije razvoja ljudskih potencijala Karlovačke županije kroz izgradnju uspješnog partnerstva, a to će se postići kroz edukaciju 44 člana Vijeća za tržište rada za rad na ESF i KF te uključivanjem 20 novih poduzetnika i donositelja odluka u rad Vijeća za tržište rada.",09.10.2013,09.10.2014,"199.715,33 €","229.162,81 €"
Diploma nije dovoljna,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,"Hrvatski zavod za zapošljavanje, Područni ured Karlovac (91547293790)","Cilj projekta Hrvatskog zavoda za zapošljavanje, Područnog ureda Karlovac je povećanje socijalne uključenosti i zapošljivosti dugotrajno nezaposlenih visokoobrazovanih osoba u Karlovačkoj županiji kroz teorijsku I praktičnu edukaciju za upravljanje projektnim ciklusom i rad na projektima EU. Visokoobrazovane dugotrajno nezaposlene osobe će također proći program edukacije o poduzetništvu čime će im se omogućiti zapošljavanje u privatnom sektoru kao i samozapošljavanje.

",21.09.2012,21.03.2014,"1.074.173,86 €","1.199.122,39 €"
Garancija za SVE mlade,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Mreža mladih Hrvatske (25858858563),"Razviti učinkovit sustav praćenja implementacije Garancije za mlade,  koji poseban naglasak stavlja na mlade iz sustava alternativne skrbi, osnažiti kapacitete projektnih partnera iz Hrvatske za aktivno praćenje i zagovaranje javnih politika za mlade iz sustava alternativne skrbi, a posebno u području implementacije Garancije za mlade , osmisliti te donosiocima odluka predstaviti održive preporuke za uključenost mladih iz sustava alternativne skrbi u uspješnu provedbu Garancije za mlade",10.02.2014,10.08.2015,"765.856,85 €","917.303,73 €"
AGRONET -Regionalna mreža obrazovnih ustanova u poljoprivredi,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Gospodarska škola Čakovec (38837480958),"Poticati cjeloživotno učenje kao ključnog čimbenika za održivi razvoj u sektoru poljoprivrede. Specifični cilj je uspostaviti regionalnu mrežu obrazovnih institucija u poljoprivredi koje nude programe obuke za odrasle u skladu sa zahtjevima lokalnih i regionalnih tržišta rada. Nastavnici i savjetnici, regionalne ustanove za obrazovanje odraslih, poljoprivrednici i nezaposleni zainteresirani za pohađanja obrazovnih programa u poljoprivredi, profesionalna udruženja, lokalna vlast. ",05.11.2010,05.11.2011,"1.865.731,95 €","2.205.878,40 €"
Mreža obrazovnih ustanova za uspostavljanje EU standarda u seoskom turizmu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Pučko otvoreno učilište Samobor (37111215032),"Opći cilj je usmjeren prema osnivanju obrazovne ustanove kao i prema drugim zainteresiranim stranama kako bi se postigao razvoj novog nastavnog plana i programa s ciljem većeg zapošljavanja i obrazovanja u području upravljanja seoskim turizmom. Specifični cilj je poboljšati ključne i druge sposobnosti osoba koje rade i/ili planiraju raditi kao upravitelj seoskog turizma na OPG-ima i povećanje njihovog zapošljavanja i samozapošljavanja na tržištu rada na području Karlovca, Sisačko-moslavačke i Zagrebačke županije. Ciljne skupine: predavači i polaznici u programu Upravitelj seoskog turizma.",22.10.2010,22.10.2011,"861.247,00 €","1.037.646,96 €"
"Modernizacija obrazovnog programa za zanimanje mljekar-sirar, MOTO",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Prirodoslovna škola Karlovac (78360781271),"Opći cilj projekta je ojačati kapacitete ustanova za obrazovanje odraslih i modernizirati postojeći obrazovni program za zanimanje mljekar-sirar kako bi se poboljšale  vještine, kompetencije i  konkurentnost odraslih sa svrhom njihovog aktivnijeg sudjelovanja na tržištu rada. 
Posebni cilj je uspostaviti suradnju između ustanova za obrazovanje odraslih i lokalnih partnera provodeći modernizirani program za zanimanje mljekar-sirar. Ciljne skupine: 70 odraslih osoba/članova OPG-a te 25 predavača sa stajališta cijelo-životnog učenja.
",05.11.2010,05.11.2011,"1.076.394,82 €","1.266.495,89 €"
Prema punim potencijalima – Volontiranje osnažuje ljude i zajednice,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Mreža mladih Hrvatske (25858858563),"Ciljevi projekta su osnažiti organizacije mladih za provedbu kvalitetnih volonterskih programa i rada s mladima, podići razinu javne svijesti o važnosti volontiranja te njegovim dobrobitima za pojedince i zajednice te doprinijeti priznavanju kompetencija stečenih volontiranjem. Projekt će kroz niz obrazovnih aktivnosti, javnu kampanju te izradu povelje o priznavanju kompetencija stečenih volontiranjem izravno obuhvatiti preko 40 organizacija mladih i za mlade, najmanje 20 lokalnih zajednica i 200 mladih volontera te brojne relevantne dionike iz javnog i poslovnog sektora.",10.03.2014,10.09.2015,"919.066,98 €","1.177.837,96 €"
MEDINFO – Razvoj kurikuluma za Interdisciplinarni poslijediplomski specijalistički studij medicinske informatike,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,"Fakultet organizacije i informatike, Sveučilište u Zagrebu (02024882310)","Opći cilj je potpora daljnjem razvoju i provedbi HKO-a kroz razvoj novog standarda kvalifikacija za sveučilišnog specijalista u području medicinske informatike. Specifični ciljevi su razvoj kapaciteta za provedbu učenja usmjerenog prema studentima; jačanje suradnje interesnih skupina na svim razinama; razvoj kvalifikacijskih standarda za stručnjaka medicinske informatike i poslijediplomski specijalistički studij medicinske informatike. Ciljne skupine su profesionalci u području medicine, sestrinstva, zdravstvenog menadžmenta, stomatologije, farmacije, javnog zdravstva i informatike.",27.06.2013,18.02.2015,"932.424,80 €","1.287.168,42 €"
"Razvoj elemenata kvalifikacija, programa i kurikuluma u dijelu računalne kompetencije u osnovnoškolskom obrazovanju",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Hrvatska akademska i istraživačka mreža - CARNet (58101996540),"Razvijanje ICT-a i interdisciplinarnih modula školskog kurikuluma u osnovnoškolskom obrazovanju u skladu s Nacionalnim okvirnim kurikulumom,temeljenom na HKO metodologiji. Specifični ciljevi su razvijanje kvalifikacija i elemenata programa u ICT-u temeljenih na ishodima učenja; učenje usmjereno na učenika/studenta kroz jačanje kapaciteta nastavnika; facilitiranje procesa predavanja i učenja kroz razvoj online materijala za učenje i popratnih alata. Ciljne skupine su ICT predavači i učenici.",27.06.2013,18.02.2015,"3.043.845,72 €","3.346.356,37 €"
Vještine za zapošljavanje u turizmu i ugostiteljstvu ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,British Council (00000000001),Cilj je projekta potaknuti pozitivne društvene promjene u hrvatskom društvu i društvenu uključenost dugotrajno nezaposlenih žena tako što ćemo povećati njihovu zapošljivost i promovirati društveno odgovorno poslovanje i društveno poduzetništvo među poslodavcima u turizmu i ugostiteljstvu.,27.05.2013,27.11.2014,"819.115,34 €","1.103.185,60 €"
"„Znam, radim, živim - Profesionalna rehabilitacija osoba s invaliditetom“",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,GENEZA d. o. o. za obrazovanje odraslih i ostala obrazovanja (22668360735),Ovim projektom želimo osposobiti osobe s invaliditetom za zanimanje operatera u pozivnom centru. Program ćemo provesti preko vlastite e-learning akademije u kojoj će sudionici steći potrebne komunikacijske vještine te biti osposobljeni za posao u pozivnom centru. Glavni cilj projekta je pridonijeti integraciji dugotrajno nezaposlenih osoba s invaliditetom na tržište rada kroz unaprjeđenje njihovih radnih navika i vještina te kroz zapošljavanje pozitivno utjecati na uključivanje osoba s invaliditetom u društvo.,29.03.2013,29.03.2014,"721.583,34 €","816.917,65 €"
Razvoj nacionalnog standarda kvalifikacije za učitelje kao podloge za uvođenje sustava licenciranja učitelja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Nacionalni centar za vanjsko vrednovanje obrazovanja (94833993984),"Opći cilj je daljnji razvoj HKO u sustavu obrazovanja stvaranjem nacionalnog kvalifikacijskog standarda za nastavnike. Specifični ciljevi su doprinijeti razvoju nacionalnih standarda kvalifikacija kao osnove za uvođenje sustava licenciranja, te doprinijeti razvoju ishoda učenja. Ciljne skupine su učiteljski fakulteti, nacionalne agencije i druge organizacije civilnog sektora na području kontinuiranog profesionalnog razvoja i agencije za osiguravanje kvalitete.",27.06.2013,18.02.2015,"1.766.221,02 €","2.576.168,33 €"
Edukacija kao priprema za posao u ukrasnoj hortikulturi,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Sveučilište u Zagrebu Agronomski fakultet (76023745044),"Opći cilj je stvaranje uvjeta za uspješnu integraciju osoba s invaliditetom u redoviti sustav obrazovanja u području ukrasnog vrtlarstva.
Specifični ciljevi su povećati razinu znanja i vještina nastavnog osoblja kako bi se olakšao rad s osobama sa invaliditetom te informiranje roditelja djece s teškoćama u razvoju i olakšavanje integracije osoba sa invaliditetom u obrazovnom sustavu.
Ciljne skupine su osobe s invaliditetom, djeca s teškoćama u razvoju te njihovi roditelji.
",21.08.2013,21.02.2015,"1.551.537,05 €","1.633.196,90 €"
Zadruga SDDH,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,SAVEZ DRUŠTAVA DISTROFIČARA HRVATSKE (08465235935),"Projektom se kroz aktivnosti osnivanja zadruge SDDH i njezinog djelovanja, edukacije i zapošljavanja doprinosi zapošljavanju i socijalnoj integraciji osoba oboljelih od NMB u Republici Hrvatskoj. Putem postignutih partnerstva i suradnje na Projektu osnažit će se ne samo pripadnici ciljane skupine i njihove obitelji, već kroz rezultate, iskustva i nove metodologije pridonijet će se podizanju razine svijesti u društvu te otvoriti nove mogućnosti za daljnje ostvarivanje navedenih ciljeva.",05.04.2013,05.04.2014,"738.278,47 €","943.969,43 €"
Stručnom potporom do obrazovanja za sve,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Centar inkluzivne potpore IDEM (22240978017),"Opći cilj projekta je jačanje inkluzivnog obrazovanja koje se planira postići ostvarenjem specifičnih ciljeva: uspostava sistema profesionalne podrške inkluzivnom obrazovanju u lokalnoj zajednici; povećanje komptenecija učitelja za rad s učenicima s poteškoćama; povećanje razine svijesti i znanja u vezi učinaka neposredne okoline na sveopću obrazovnu inkluziju učenika s poteškoćama. Ciljne skupine: nastavnici i koordinatori škola koje sudjeluju, učenici, profesionalni suradnici i roditelji. 
",21.08.2013,21.02.2015,"1.129.089,89 €","1.190.520,77 €"
Modernizacija kurikuluma hrvatskih turističkih i ugostiteljskih strukovnih škola – formula uspjeha,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,"Škola za turizam, ugostiteljstvo i trgovinu Pula (30822226445)","Projekt je usmjeren ka provedbi niza aktivnosti kojima će se raditi na modernizaciji kurikuluma turističko-ugostiteljskih škola kao preduvjeta za podizanje razine kompetencija ljudskih resursa, brže zapošljivosti učenika te održivog gospodarskog razvitka regije. Isti će doprinijeti općem cilju stvaranju suvremenih kurikuluma u turističkim i ugostiteljskim školama kako bi se podigla razina kompetencija učenika strukovnih škola koji se suočavaju s potrebama tržišta rada u 4 hrvatske županije. Ciljne skupine su ravnatelji, nastavnici i učenici škola koje sudjeluju na projektu.",21.09.2012,21.09.2013,"1.526.967,32 €","1.676.328,18 €"
Modernizacija školskih kurikuluma u strukovnim školama u području proizvodnje hrane: „Zdrava radna mjesta za zdravu hranu“,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Prirodoslovna škola Karlovac (78360781271),"Opći cilj projekta je ojačati kapacitete strukovnih škola za pružanje suvremene nastave kako bi pružili studentima znanje, vještine i kompetencije relevantne za potrebe tržišta rada u sektoru poljoprivrede, prehrane i veterine. Specifični ciljevi ovoga projekta su: modernizacija postojećeg šk. kurikuluma iz procesa proizvodnje hrane, jačanje kapaciteta institucija za obrazov. odraslih, stvaranje baze za održivi razvoj poljopr.proizvodnje te stvaranje reg. mreže strukovnih škola u Hrvatskoj u sektoru poljoprivrede.
Ciljne skupine su nastavnici i učenici strukovnih škola.
",21.09.2012,21.09.2013,"1.115.820,69 €","1.214.168,32 €"
