years,source,beneficiary,name_of_operation,on_finish_total_value,allocated_public_funding
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Buchner consulting gmbh
Schwentinental, Stadt",A2 - Potenzialberatung,"3.000,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Buddel GmbH
Schillsdorf",A2 - Potenzialberatung,"3.000,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Büdelsdorfer Seniorenwohnanlage am Park
Büdelsdorf",A2 - Potenzialberatung,"3.000,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Büge Autoteile GmbH & Co. KG
Lübeck",A2 - Potenzialberatung,"2.812,50",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Büge Autoteile Nord GmbH & Co. KG
Flensburg",A2 - Potenzialberatung,"3.000,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Büge Autoteile Nord GmbH & Co. KG
Flensburg",A2 - Potenzialberatung,"2.812,50",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Butzlaff und Tewes Architektur und Ingenieurbüro
Brande-Hörnerkirchen",A2 - Potenzialberatung,"3.000,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"C.H. Bosse GmbH
Tönning",A2 - Potenzialberatung,"3.000,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Café Affenbrot Vegetarisches Restaurant
Lübeck",A2 - Potenzialberatung,"1.198,80",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Café Alte Scheune
Breiholz",A2 - Potenzialberatung,"3.000,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Campingplatz Behnke M. Beckmannshagen
Neukirchen",A2 - Potenzialberatung,"2.693,25",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Campingplatz Klausdorfer Strand Familie Kohlhoff
Fehmarn",A2 - Potenzialberatung,"2.693,25",
